date,prob_3m,prob_6m,regime
2011-03-31,0.9240519982596778,0.532177357793053,short_term_reflation
2011-04-30,0.8350372180865099,0.4704222208229545,short_term_reflation
2011-05-31,0.8350372180865099,0.3668704419950915,short_term_reflation
2011-06-30,0.8411898243372812,0.3168883167766204,inflation_bottoming
2011-07-31,0.3306864929107155,0.2702898402585855,disinflation_strong
2011-08-31,0.1248887130307261,0.2190599563142545,disinflation_strong
2011-09-30,0.0684252308525096,0.2009736528508303,disinflation_strong
2011-10-31,0.0440394426738409,0.2196373175578959,disinflation_strong
2011-11-30,0.0669657351022898,0.2510854008050435,disinflation_strong
2011-12-31,0.0778330419127173,0.2567493986093007,disinflation_strong
2012-01-31,0.0632287433437968,0.2667605774576431,disinflation_strong
2012-02-29,0.0429699491321298,0.2883412652422766,disinflation_strong
2012-03-31,0.1286013343861751,0.3090087003249854,disinflation_strong
2012-04-30,0.0666732987324449,0.2858778052060203,disinflation_strong
2012-05-31,0.0999977452656715,0.2921536193272744,disinflation_strong
2012-06-30,0.8243104248055266,0.2930935792526257,inflation_bottoming
2012-07-31,0.527514246008651,0.3201699173365796,disinflation
2012-08-31,0.7621807377305541,0.3796976314066881,short_term_reflation
2012-09-30,0.0753918603755125,0.4437986255027065,short_term_disinflation
2012-10-31,0.4950358981730719,0.525338958514589,neutral
2012-11-30,0.8380358820454118,0.5236152032310682,short_term_reflation
2012-12-31,0.4837036817110706,0.5163330531114888,neutral
2013-01-31,0.3801202209916172,0.4942641635886982,short_term_disinflation
2013-02-28,0.3801202209916172,0.5137295320124536,short_term_disinflation
2013-03-31,0.6725319975356403,0.5555573936289756,short_term_reflation
2013-04-30,0.6730259474160457,0.5738366958277243,short_term_reflation
2013-05-31,0.5111001639318562,0.5146454434230484,neutral
2013-06-30,0.1354874754885139,0.4358861887086,short_term_disinflation
2013-07-31,0.2825754012177849,0.3859771518309251,short_term_disinflation
2013-08-31,0.2498274668259802,0.4085708396160264,short_term_disinflation
2013-09-30,0.3019358498191042,0.3650824106761737,short_term_disinflation
2013-10-31,0.4031151554745325,0.3309207629122279,disinflation
2013-11-30,0.5091874898445637,0.3553958057372114,neutral
2013-12-31,0.775103794090957,0.3828300068457477,short_term_reflation
