date,portfolio_gross_return,transaction_cost,slippage_cost,total_cost,portfolio_net_return,equity_curve_gross,equity_curve,turnover,leverage
2011-03-31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2011-04-30,0.01822828768923834,0.00038756591310586266,0.0,0.00038756591310586266,0.017840721776132478,1.0182282876892383,1.0178407217761325,0.7751318262117253,1.0
2011-05-31,-0.007193608545571387,1.3303120611955932e-05,0.0,1.3303120611955932e-05,-0.007206911666183344,1.0109035519775744,1.0105052336040476,0.026606241223911864,1.0
2011-06-30,-0.009146969529333422,1.0853300188367134e-05,0.0,1.0853300188367134e-05,-0.00915782282952179,1.0016568479905406,1.0012512057063971,0.02170660037673427,1.0
2011-07-31,0.014366636318467874,9.57038954822393e-06,0.0,9.57038954822393e-06,0.01435706592891965,1.0160472876415234,1.0156262352781342,0.01914077909644786,1.0
2011-08-31,-0.004118901600413954,2.741227886608439e-05,0.0,2.741227886608439e-05,-0.004146313879280038,1.0118622888423605,1.0114151301226395,0.05482455773216878,1.0
2011-09-30,-0.03088420216483636,3.5164943129771055e-05,0.0,3.5164943129771055e-05,-0.03091936710796613,0.980611729350779,0.9801428144158263,0.0703298862595421,1.0
2011-10-31,0.03726551665496051,3.3079039297325586e-05,0.0,3.3079039297325586e-05,0.03723243761566318,1.0171547320829502,1.016635920608004,0.06615807859465117,1.0
2011-11-30,0.0019594427626557394,2.6919205972078715e-05,0.0,2.6919205972078715e-05,0.0019325235566836608,1.019147788561231,1.0186005934731497,0.05383841194415743,1.0
2011-12-31,-0.001736307310752064,1.7763570882075048e-05,0.0,1.7763570882075048e-05,-0.001754070881634139,1.0173782348052154,1.0168138958321231,0.035527141764150096,1.0
2012-01-31,0.021687101431256753,1.2772567395232717e-05,0.0,1.2772567395232717e-05,0.02167432886386152,1.039442219777389,1.0388526546037327,0.025545134790465433,1.0
2012-02-29,0.012227265901284277,0.0002936576717981126,0.0,0.0002936576717981126,0.011933608229486165,1.0521517561876284,1.0512499151919352,0.5873153435962252,1.7310269237475893
2012-03-31,-0.00570625688097987,1.3626639521291912e-05,0.0,1.3626639521291912e-05,-0.0057198835205011615,1.0461479079890477,1.0452368881261007,0.027253279042583824,1.721786096333842
2012-04-30,0.011551411787137297,2.3352913431337258e-05,0.0,2.3352913431337258e-05,0.01152805887370596,1.0582323932644815,1.0572864405093876,0.046705826862674514,1.7788412356420624
2012-05-31,-0.01967886377714608,1.1381221249273532e-05,0.0,1.1381221249273532e-05,-0.019690244998395355,1.0374075821528665,1.0364682114622763,0.022762442498547066,1.7530385818396748
2012-06-30,0.015729956107455093,1.3421311612510725e-05,0.0,1.3421311612510725e-05,0.015716534795842584,1.0537259578856721,1.0527579001725078,0.02684262322502145,1.7853460032783648
2012-07-31,0.026320681572664262,7.816682968551331e-05,0.0,7.816682968551331e-05,0.02624251474297875,1.0814607432880314,1.0803849148885722,0.1563336593710266,1.7829706435763681
2012-08-31,0.019408811984495476,2.7420547910219282e-05,0.0,2.7420547910219282e-05,0.019381391436585255,1.1024506115231216,1.1013242778262096,0.054841095820438564,1.7928261899309965
2012-09-30,0.014313062252572105,9.046403928641152e-05,0.0,9.046403928641152e-05,0.014222598213285694,1.1182300557562381,1.1169879705322687,0.18092807857282303,2.0
2012-10-31,-0.013970926464167862,3.745184979436792e-05,0.0,3.745184979436792e-05,-0.01400837831396223,1.1026073458772454,1.101340780468908,0.07490369958873584,2.0
2012-11-30,0.006295452358804203,4.327296884380997e-05,0.0,4.327296884380997e-05,0.006252179389960393,1.1095487578936831,1.1082265605978785,0.08654593768761994,2.0
2012-12-31,-0.003231030390579093,6.260106639046818e-05,0.0,6.260106639046818e-05,-0.003293631456969561,1.1059637721370994,1.104576470736444,0.12520213278093634,2.0
2013-01-31,0.022538581524877612,3.610196696369567e-05,0.0,3.610196696369567e-05,0.022502479557913915,1.1308906267789725,1.1294321801893434,0.07220393392739134,2.0
2013-02-28,-0.0028137777588336816,1.940225906279707e-05,0.0,1.940225906279707e-05,-0.002833180017896479,1.1277085518856682,1.1262322955048618,0.03880451812559414,2.0
2013-03-31,0.018381899990527098,1.4995890501366432e-05,0.0,1.4995890501366432e-05,0.01836690410002573,1.1484379777048928,1.1469176960707517,0.029991781002732865,2.0
2013-04-30,0.0011426352351621369,2.7788077714848854e-05,0.0,2.7788077714848854e-05,0.001114847157447288,1.1497502234036168,1.1481963340040422,0.05557615542969771,2.0
2013-05-31,-0.017754033780938445,2.355997461242576e-05,0.0,2.355997461242576e-05,-0.01777759375555087,1.1293375190976676,1.1277841660265056,0.04711994922485152,2.0
