date,equities_broad,duration_long,duration_intermediate,cash_bonds,tips,commodities,gold,usd,energy_equities,financials,equities_value,cyclical_equities,quality_equities,cash
2005-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.08464139694885729,0.0,0.45767930152557135,0.0,0.0,0.45767930152557135,0.0,0.0
2005-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0808930853353168,0.0,0.4595534573323416,0.0,0.0,0.4595534573323416,0.0,0.0
2005-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.08533445462872527,0.0,0.4573327726856373,0.0,0.0,0.4573327726856373,0.0,0.0
2005-06-30,0.0,0.01716996606784368,0.0,0.0,0.0,0.0,0.07680100916585275,0.0,0.4530145123831517,0.0,0.0,0.4530145123831517,0.0,0.0
2005-07-31,0.0,0.031301958790382584,0.0,0.0,0.0,0.0,0.06912090824926748,0.0,0.44978856648017496,0.0,0.0,0.44978856648017496,0.0,0.0
2005-08-31,0.009599917308456402,0.028171762911344326,0.0,0.0,0.0,0.0,0.06220881742434073,0.0,0.4500097511779293,0.0,0.0,0.4500097511779293,0.0,0.0
2005-09-30,0.008639925577610763,0.035442244691265834,0.0,0.0,0.0,0.0,0.05598793568190666,0.0,0.4499649470246084,0.0,0.0,0.4499649470246084,0.0,0.0
2005-10-31,0.007775933019849687,0.03189802022213925,0.0,0.0,0.0,0.0,0.06237434316676316,0.0,0.448975851795624,0.0,0.0,0.448975851795624,0.0,0.0
2005-11-30,0.006998339717864718,0.028708218199925327,0.0,0.0,0.0,0.0,0.07041328992047564,0.0,0.4469400760808672,0.0,0.0,0.4469400760808672,0.0,0.0
2005-12-31,0.006298505746078246,0.025837396379932796,0.0,0.0,0.0,0.0,0.08344599641350492,0.0,0.4422090507302421,0.0,0.0,0.4422090507302421,0.0,0.0
2006-01-31,0.0029376112263558413,0.012050513046329363,0.0,0.0,0.0,0.0,0.051288801217701414,0.0,0.22597160282560058,0.0,0.0,0.22597160282560058,0.0,0.0
2006-02-28,0.00255089482716169,0.010464145533872784,0.0,0.0,0.0,0.0,0.0567021133423823,0.0,0.21514142314829166,0.0,0.0,0.21514142314829166,0.0,0.0
2006-03-31,0.002295805344445521,0.009417730980485506,0.0,0.0,0.0,0.0,0.06490362340672728,0.0,0.21169142013417092,0.0,0.0,0.21169142013417092,0.0,0.0
2006-04-30,0.002066224810000969,0.008475957882436956,0.0,0.0,0.0,0.01565332693376826,0.05841326106605456,0.0,0.2076956146538697,0.0,0.0,0.2076956146538697,0.0,0.0
2006-05-31,0.001859602329000872,0.0076283620941932605,0.0,0.0,0.0,0.035804677905378196,0.052571934959449104,0.0,0.20106771135598936,0.0,0.0,0.20106771135598936,0.0,0.0
2006-06-30,0.0016736420961007848,0.006865525884773935,0.0,0.0,0.0,0.05010321958791884,0.047314741463504194,0.0,0.19702143548385118,0.0,0.0,0.19702143548385118,0.0,0.0
2006-07-31,0.0015062778864907065,0.006178973296296541,0.0,0.0,0.0,0.04509289762912696,0.05718501679884902,0.0,0.19501841719461843,0.0,0.0,0.19501841719461843,0.0,0.0
2006-08-31,0.0013556500978416357,0.005561075966666887,0.0,0.0,0.0,0.04058360786621426,0.0661638016458893,0.0,0.193167932211694,0.0,0.0,0.193167932211694,0.0,0.0
