date,portfolio_net_return,equity_curve
2005-02-28,0.0,1.0
2005-03-31,-0.019357722510385953,0.9806422774896141
2005-04-30,-0.048741826776462834,0.9328439814705393
2005-05-31,0.022138137438462505,0.9534954097409767
2005-06-30,0.06688898578671126,1.0172737506508354
2005-07-31,0.06169021274372113,1.0800295847470884
2005-08-31,0.059202293973067435,1.1439698137228955
2005-09-30,0.05961146731062982,1.2121635328779852
2005-10-31,-0.0824509615866673,1.1122194839919035
2005-11-30,0.01796136395038816,1.132196462936595
2005-12-31,0.02087556977380511,1.155831709196283
2006-01-31,0.07078571685367553,1.237648085293951
2006-02-28,-0.04021395691059032,1.1878773585214655
2006-03-31,0.019916544971615463,1.211535771353222
2006-04-30,0.028825361700280397,1.246458728175307
2006-05-31,-0.012114943423831084,1.2313579512033226
2006-06-30,0.007430713882560863,1.2405078198257309
2006-07-31,0.015989600198970434,1.2603430439084407
2006-08-31,-0.02169996791036598,1.2329936402995745
2006-09-30,-0.01879574164461538,1.2098186103870499
2006-10-31,0.018964403913881336,1.2327620991769606
2006-11-30,0.041193097841143604,1.2835433889432109
2006-12-31,-0.012992145194495156,1.2668674068706263
2007-01-31,-0.0019553146050826607,1.2643902825272688
2007-02-28,-0.005741811798206748,1.2571303914855159
2007-03-31,0.03272699850043256,1.2982724959225105
2007-04-30,0.0330653522340948,1.3412003332960258
2007-05-31,0.03889943198219842,1.3933722644355766
2007-06-30,0.0035289166912981624,1.3982893590767353
2007-07-31,0.005340208545245993,1.4057565158608036
2007-08-31,0.00975730000578007,1.4194729039211376
2007-09-30,0.07256668371542699,1.5224793451826015
2007-10-31,0.03420224348563704,1.5745515544483901
2007-11-30,-0.02989158825284526,1.5274857076999415
2007-12-31,0.06640968133438206,1.6289255467911175
2008-01-31,-0.037475695874941616,1.5678804283966505
2008-02-29,0.056549375409667285,1.6565430873395228
2008-03-31,-0.022137427415275145,1.6198714849832683
2008-04-30,0.03340978711670294,1.6739910464529768
2008-05-31,0.02700136462288074,1.7191910890736914
2008-06-30,0.029933753589473422,1.770652931507242
2008-07-31,-0.05702932859195606,1.669673783654005
2008-08-31,-0.016998272961669045,1.6412922129225116
2008-09-30,-0.048490684818447774,1.5617048295307134
2008-10-31,-0.09838351245654947,1.4080588229811248
2008-11-30,-0.0037886272415241142,1.4027242129667101
2008-12-31,0.0006137130198407397,1.4035850830794536
2009-01-31,-0.006471632184716454,1.3945015966818086
2009-02-28,-0.025419842729994313,1.359053585407431
2009-03-31,0.00986989509232041,1.3724673017202442
2009-04-30,-0.0008404485725713664,1.3713138135356127
2009-05-31,0.039330825263347406,1.4252487175169963
2009-06-30,-0.017783660365147613,1.399902578388812
2009-07-31,0.011849101274718011,1.4164901658148799
2009-08-31,0.001775478766107346,1.419005114026684
2009-09-30,0.01932119838158867,1.4464219933392823
2009-10-31,0.016258238851521473,1.4699382675870862
2009-11-30,0.05255133445401077,1.5471854851138043
2009-12-31,-0.036883854072227,1.490119321458199
2010-01-31,-0.003682311048732602,1.4846322386168633
2010-02-28,0.016526563966208774,1.5091681082746604
2010-03-31,-0.0046444744973664995,1.50215881548354
2010-04-30,0.033377947900751326,1.552297794165404
2010-05-31,0.017348376718824957,1.5792276410783863
2010-06-30,0.02451433066428305,1.6179413496659576
2010-07-31,-0.018510076112964843,1.5879931321373277
2010-08-31,0.04568965827187736,1.6605479956827705
2010-09-30,0.023570020421161256,1.6996871458513318
2010-10-31,0.011665445159581539,1.7195147530397061
2010-11-30,0.008673040157508426,1.7344281735442475
2010-12-31,0.015499843372237409,1.761311538574579
2011-01-31,-0.036334149603881954,1.6973157816329667
2011-02-28,0.052712507615444305,1.786785552698108
2011-03-31,0.006673454723189875,1.7987095851840886
2011-04-30,0.052882464999026664,1.8938297818660002
2011-05-31,-0.01994464786347912,1.8560580137533131
2011-06-30,-0.024819973740916376,1.8099907025903386
2011-07-31,0.042767940436015284,1.8874002771484637
2011-08-31,0.0068798876892150794,1.9003853790798386
2011-09-30,-0.07812706144079347,1.7519138538072825
2011-10-31,0.06231240296439661,1.861079815824631
2011-11-30,0.006471077076316301,1.8731230067580087
2011-12-31,-0.0266481708804524,1.8232077047938147
2012-01-31,0.03486593265196854,1.8867755418397059
2012-02-29,0.006028143684548583,1.8981492959064077
2012-03-31,-0.01268995832765568,1.8740618604416865
2012-04-30,0.0017747361920131737,1.8773878258514838
2012-05-31,-0.03166683310553217,1.8179368988958868
2012-06-30,0.014920386628926412,1.845061220294405
2012-07-31,0.017425337288321106,1.8772120343756362
2012-08-31,0.015292709898589715,1.9059196934354843
2012-09-30,0.018498110252398666,1.9411756060568717
2012-10-31,-0.017841916979473352,1.9065413120510262
2012-11-30,-0.004648894652279786,1.8976780023410817
2012-12-31,-0.005125253399656655,1.8879519217081295
2013-01-31,0.0340350564352775,1.9522084719105566
2013-02-28,-0.008779228714323222,1.9350695872376142
2013-03-31,0.016961093887533314,1.9678904841856617
2013-04-30,-0.003914277232898591,1.960187615266576
2013-05-31,-0.03332360669627489,1.8948670941245236
2013-06-30,-0.05228489021794058,1.7957941761306349
2013-07-31,0.04545625656073457,1.877424256931102
2013-08-31,-0.02045162786629182,1.8390278746811974
2013-09-30,0.01882496720408087,1.8736475141094613
2013-10-31,0.038640087583891466,1.9460454181559914
2013-11-30,0.015846060959044644,1.976882572481161
2013-12-31,0.015100271489493146,2.006734036028474
2014-01-31,-0.025295337227167196,1.9559730218618998
2014-02-28,0.044377745425563116,2.042774694685357
2014-03-31,0.023293418792197065,2.0903579011467657
2014-04-30,-0.00024420435911727366,2.0898474266351905
2014-05-31,0.021489179962289943,2.134756534079883
2014-06-30,0.04488545016814709,2.2305760421114518
2014-07-31,-0.02722858594797056,2.1698406106353363
2014-08-31,0.06418653932980052,2.3091151703292794
2014-09-30,-0.02507514121654315,2.2512137813480106
2014-10-31,0.03125649025388233,2.3215788229641205
2014-11-30,0.023499590314220338,2.3761349741859474
2014-12-31,0.01923495490748295,2.421839823268507
2015-01-31,-0.05882887196664971,2.2793657183817104
2015-02-28,0.057460267626149794,2.4103386825777946
2015-03-31,-0.009856408658395002,2.3865813995171705
2015-04-30,0.006013420651390444,2.4009329173912515
2015-05-31,0.015148410726666508,2.437303235351068
2015-06-30,-0.0128892117452407,2.4058883178632677
2015-07-31,0.029829420265816392,2.4776545716094294
2015-08-31,-0.061683345458246844,2.32482454874264
2015-09-30,-0.025863876217009942,2.2646955743876944
2015-10-31,0.053743696937239294,2.3864086869926937
2015-11-30,0.009988024990713726,2.4102441965964334
2015-12-31,-0.01707636509459425,2.369085986728226
2016-01-31,-0.04142819588039508,2.27093902841255
2016-02-29,-0.008489846202683672,2.2516591053256554
2016-03-31,0.035259694289459645,2.331051917023516
2016-04-30,0.00933213980603772,2.352805619408312
2016-05-31,0.01310710317706971,2.383644085417486
2016-06-30,0.007720811238357032,2.4020477514604206
2016-07-31,0.018104915725892474,2.4455366235701814
2016-08-31,0.006467086879572219,2.4613521213819856
2016-09-30,-0.011065755369038872,2.4341154009297075
2016-10-31,-0.01392108545276428,2.4002298724314755
2016-11-30,0.007345842938414399,2.4178615840904474
2016-12-31,0.016274251539795847,2.4572104716983443
2017-01-31,0.009238131484015498,2.4799105051197934
2017-02-28,0.06314261260522687,2.636498533440205
2017-03-31,-0.02605978260027781,2.567791954832802
2017-04-30,0.002461203944967287,2.5741118145218915
2017-05-31,2.401884271745532e-05,2.5741736417087018
2017-06-30,0.06124004364339749,2.7318161478726264
2017-07-31,0.022386823623941798,2.792972834148087
2017-08-31,-0.004508449674394425,2.7803808566833794
2017-09-30,0.057169246209386376,2.9393331344349765
2017-10-31,0.04519684373331456,3.0721817147921877
2017-11-30,0.054249261892811304,3.238845305220255
2017-12-31,0.03095496477265921,3.3391036475474407
2018-01-31,0.08270879934749328,3.615276901132925
2018-02-28,-0.04047646196836706,3.4689432831391023
2018-03-31,-0.03889076943137769,3.334033409744013
2018-04-30,-0.0026197514961596637,3.32529907073059
2018-05-31,0.0019392041950618436,3.331747504638386
2018-06-30,-0.012135433657706692,3.2913153038316176
2018-07-31,0.049434342421747844,3.454019311579169
2018-08-31,0.02091947084087158,3.5262755678515565
2018-09-30,-0.016484943772542022,3.468145113389035
2018-10-31,-0.050206671663553776,3.294021090399553
2018-11-30,0.023286088249925892,3.3707259562077145
2018-12-31,-0.07208735018206792,3.1277392538347835
2019-01-31,0.053306730214906395,3.294468806421527
2019-02-28,0.01554206470888484,3.345671653792333
2019-03-31,-0.0061985637309218385,3.3249332948235626
2019-04-30,0.0419518313152483,3.4644203355424534
2019-05-31,-0.03651301630460707,3.3379238993447795
2019-06-30,0.035657750868041155,3.4569467581640962
2019-07-31,0.010874698310710773,3.494540011235321
2019-08-31,-0.0173918875541971,3.4337633643062735
2019-09-30,0.01682718150390893,3.491543923678928
2019-10-31,0.011759367644762857,3.5326022723253065
2019-11-30,0.020127768450594805,3.603705672890715
2019-12-31,0.014595591003606315,3.656303886989604
2020-01-31,-0.002406377579603168,3.647505439291736
2020-02-29,-0.046661467580279475,3.477307482487332
2020-03-31,-0.05957816386697447,3.2701358874798454
2020-04-30,0.0407604290191729,3.403428029204518
2020-05-31,0.010968673370412057,3.440759119596567
2020-06-30,0.0037693568962111454,3.45372856871222
2020-07-31,0.028481109769850497,3.5520945911929815
2020-08-31,0.00462170015379166,3.5685113073113803
2020-09-30,-0.011809257191578791,3.526369839492283
2020-10-31,-0.011246234299300616,3.486711458051366
2020-11-30,0.024528508563482126,3.57223528990857
2020-12-31,0.017568274288394508,3.6349932993043663
2021-01-31,-0.014065386258728428,3.5838657145017607
2021-02-28,-0.006527420432686387,3.5604723162089176
2021-03-31,0.005097218335478208,3.5786208209820605
2021-04-30,0.05018069026622484,3.758198483980024
2021-05-31,0.03437424909932131,3.8873837348330453
2021-06-30,-0.008272809871223388,3.8552241482982854
2021-07-31,0.020149157652018638,3.9329036674462174
2021-08-31,0.033421380565625415,4.0643467376438815
2021-09-30,-0.03473443140884154,3.923173964663441
2021-10-31,0.06173869127653757,4.1653855908919475
2021-11-30,-0.0270366769487619,4.052767406303975
2021-12-31,0.03277100257322153,4.18558065740463
2022-01-31,-0.023486879503575895,4.08727442885167
2022-02-28,-0.004957881254001201,4.067010207580908
2022-03-31,0.02447115526695929,4.166534645842928
2022-04-30,-0.05607796196521259,3.9328838744466075
2022-05-31,0.04204598785747919,4.098245862076466
2022-06-30,-0.06721059367017279,3.8228003246799775
2022-07-31,0.03710261834360778,3.964636226130399
2022-08-31,-0.004216058987938143,3.947921085935317
2022-09-30,-0.04565308948005157,3.7676862913389297
2022-10-31,0.07422444687929373,4.047340722328259
2022-11-30,0.01564098598561109,4.110645121845188
2022-12-31,-0.017089841677427667,4.040394847520764
2023-01-31,0.017600831862228845,4.111509157888993
2023-02-28,-0.02722851035162514,3.9995588882226114
2023-03-31,-0.002629487131245398,3.989042099595372
2023-04-30,0.00987889408604372,4.028449424002044
2023-05-31,-0.03958573957025706,3.8689802742315473
2023-06-30,0.029364261573980102,3.982590023028652
2023-07-31,0.036380013472124155,4.127476701720382
2023-08-31,0.003827315245373432,4.1432738562258
2023-09-30,0.007241112428185675,4.173275768039494
2023-10-31,-0.03006750520280869,4.047795777171211
2023-11-30,-0.00010968501931460877,4.04735179461321
2023-12-31,-0.0002656810882663533,4.04627648978382
2024-01-31,-0.00018086666701349125,4.045544653241298
2024-02-29,0.019180095727179377,4.123138586959044
2024-03-31,0.05766192896426813,4.360886711270109
2024-04-30,-0.005715187859672804,4.3359634244804495
2024-05-31,0.0015325692400042343,4.342608588650592
2024-06-30,-0.005123651453829045,4.320358575841941
2024-07-31,0.018850379344735248,4.401798973901841
2024-08-31,-0.005791104680033936,4.37630769526351
2024-09-30,-0.010006054050737923,4.332518123922043
2024-10-31,0.011725998197553017,4.383321223634018
2024-11-30,0.06195755830765951,4.654901103928524
2024-12-31,-0.04534615729784773,4.443819226263856
2025-01-31,0.030839501054222326,4.580864393976994
2025-02-28,0.01206892697549001,4.6361505118325255
2025-03-31,-0.005295620184079485,4.611599219605635
2025-04-30,-0.03904285493072456,4.4315492202759295
2025-05-31,0.0296761106590559,4.563060365327891
2025-06-30,0.030149219230255753,4.700633072643052
2025-07-31,0.007939462704991991,4.7379535736131535
2025-08-31,0.02918811434829903,4.876245504296707
2025-09-30,0.027993807239684105,5.012750180997365
2025-10-31,-0.0027319428958746256,4.9990556337515955
2025-11-30,0.025829416821866014,5.128178325431463
2025-12-31,0.026978357386182285,5.266528153035027
2026-01-31,0.05358421542199443,5.548730932113254
2026-02-28,0.02415747513817815,5.68277426165422
2026-03-31,-0.05612826812063046,5.363809984227075
