date,equities_broad,duration_long,duration_intermediate,cash_bonds,tips,commodities,gold,usd,energy_equities,financials,equities_value,cyclical_equities,quality_equities,cash
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-30,0.11107688724967654,0.02516926660019582,0.08762558234567833,0.0,0.13556802198345563,0.0843724111317484,0.047565913105862626,0.0,0.06565536768467971,0.046938324237611025,0.0,0.0,0.0,0.17116005187281713
2011-05-31,0.10790471431201568,0.020158771003039644,0.08572934033437421,0.0,0.14018508050933323,0.0875107273736912,0.04610813982636261,0.0,0.0680647972868725,0.048618867200053796,0.0,0.0,0.0,0.1679358418069824
2011-06-30,0.1046317695733171,0.01647716083908113,0.0830671886866606,0.0,0.1434283759119343,0.09029142830935799,0.04464394378389394,0.0,0.07011340020130497,0.049935372093251926,0.0,0.0,0.0,0.16669924816898596
2011-07-31,0.10140636613904377,0.01343939550046317,0.08020747464435801,0.0,0.1459773098836497,0.09286846819228933,0.043224615639322894,0.0,0.07198077601195078,0.05109308383161223,0.0,0.0,0.0,0.1662517414359559
2011-08-31,0.10939444922949249,0.025974180661548704,0.08252194233557153,0.0,0.13863899425063003,0.08563976069956877,0.0464489341295168,0.0,0.06636422776432717,0.047088694829085564,0.0,0.0,0.0,0.1708266843592925
2011-09-30,0.11821388238612938,0.04674343999980775,0.08085521996239864,0.0,0.12701112415456806,0.07775309572769001,0.05002822263971695,0.0,0.06026720704754848,0.04278131836740697,0.0,0.0,0.0,0.1764029349941676
2011-10-31,0.12621405446066936,0.06698994489207152,0.07829993216217133,0.0,0.11608051779671674,0.0706857821677343,0.05324581372095741,0.0,0.054808689028213,0.0389315958886917,0.0,0.0,0.0,0.1812352973246895
2011-11-30,0.13270471523833707,0.08332645482351023,0.07640210728823633,0.0,0.10705197305460082,0.06491622472725446,0.055877485651780856,0.0,0.05035496755314488,0.03579371037903531,0.0,0.0,0.0,0.18532733258766176
2011-12-31,0.13714001950797053,0.09352578970754685,0.07593923665029581,0.0,0.10094120735925215,0.060879668235163886,0.057716955506752564,0.0,0.04723814598854016,0.03359662374191644,0.0,0.0,0.0,0.1884562643160667
